PokemonsName	TrainersName	CurrentLevel	primaryType	secondaryType
Smeargle	A-list Actor Alonso	60	1	NULL
Smeargle	A-list Actor Ricardo	30	1	NULL
Wailord	Ace Duo Elina & Sean	57	2	NULL
Vileplume	Ace Duo Elina & Sean	57	3	7
Armaldo	Ace Duo Jude & Rory	47	4	8
Cradily	Ace Duo Jude & Rory	47	4	3
Armaldo	Ace Duo Jude & Rory	56	4	8
Cradily	Ace Duo Jude & Rory	56	4	3
Carvanha	Ace Duo Pike & Shiel	21	2	12
Numel	Ace Duo Pike & Shiel	21	5	6
Sandslash	Ace Duo Kent and Aimee	46	6	NULL
Ninetales	Ace Duo Kent and Aimee	46	5	NULL
Weepinbell	Cooltrainer♀	24	3	7
Gloom	Cooltrainer♀	24	3	7
Ivysaur	Cooltrainer♀	24	3	7
Nidorino	Cooltrainer♂	39	7	NULL
Nidoking	Cooltrainer♂	39	7	6
Sandslash	Cooltrainer♂	39	6	NULL
Dugtrio	Cooltrainer♂	39	6	NULL
Rhyhorn	Cooltrainer♂	43	6	4
Persian	Cooltrainer♀	44	1	NULL
Ninetales	Cooltrainer♀	44	5	NULL
Ivysaur	Cooltrainer♂	42	3	7
Wartortle	Cooltrainer♂	42	2	NULL
Charmeleon	Cooltrainer♂	42	5	NULL
Charizard	Cooltrainer♂	42	5	18
Exeggutor	Cooltrainer♂	43	3	14
Cloyster	Cooltrainer♂	43	2	17
Arcanine	Cooltrainer♂	43	5	NULL
Parasect	Cooltrainer♀	43	8	3
Dewgong	Cooltrainer♀	43	2	17
Chansey	Cooltrainer♀	43	1	NULL
Kingler	Cooltrainer♂	43	2	NULL
Tentacruel	Cooltrainer♂	43	2	7
Blastoise	Cooltrainer♂	43	2	NULL
Bellsprout	Cooltrainer♀	43	3	7
Weepinbell	Cooltrainer♀	43	3	7
Victreebel	Cooltrainer♀	43	3	7
Ivysaur	Cooltrainer♂ Aaron	24	3	7
Charmeleon	Cooltrainer♂ Aaron	24	5	NULL
Wartortle	Cooltrainer♂ Aaron	24	2	NULL
Charmeleon	Cooltrainer♂ Allen	27	5	NULL
Rapidash	Cooltrainer♀ Beth	36	5	NULL
Rapidash	Cooltrainer♀ Beth	39	5	NULL
Rapidash	Cooltrainer♀ Beth	43	5	NULL
Magneton	Cooltrainer♂ Blake	33	9	11
Quagsire	Cooltrainer♂ Blake	31	2	6
Exeggcute	Cooltrainer♂ Blake	31	3	14
Sandslash	Cooltrainer♂ Brian	35	6	NULL
Horsea	Cooltrainer♀ CaraC	33	2	NULL
Horsea	Cooltrainer♀ CaraC	33	2	NULL
Horsea	Cooltrainer♀ CaraC	33	2	NULL
Electrode	Cooltrainer♀ Carol*	35	9	NULL
Starmie	Cooltrainer♀ Carol*	35	2	14
Ninetales	Cooltrainer♀ Carol*	35	5	NULL
Horsea	Cooltrainer♂Cody	34	2	NULL
Seadra	Cooltrainer♂Cody	36	2	NULL
Butterfree	Cooltrainer♀ Cybil	25	8	18
Bellossom	Cooltrainer♀ Cybil	25	3	NULL
Dragonair	Cooltrainer♂ DarinC	37	10	NULL
Poliwhirl	Cooltrainer♀ Emma	28	2	NULL
Seadra	Cooltrainer♀ Fran	37	2	NULL
Victreebel	Cooltrainer♂ Gaven	32	3	7
Kingler	Cooltrainer♂ Gaven	32	2	NULL
Flareon	Cooltrainer♂ Gaven	32	5	NULL
Victreebel	Cooltrainer♂ Gaven	35	3	7
Kingler	Cooltrainer♂ Gaven	35	2	NULL
Flareon	Cooltrainer♂ Gaven	35	5	NULL
Victreebel	Cooltrainer♂ Gaven	39	3	7
Kingler	Cooltrainer♂ Gaven	39	2	NULL
Flareon	Cooltrainer♂ Gaven	39	5	NULL
Eevee	Cooltrainer♀ Gwen	26	1	NULL
Vaporeon	Cooltrainer♀ Gwen	22	2	NULL
Jolteon	Cooltrainer♀ Gwen	22	9	NULL
Flareon	Cooltrainer♀ Gwen	22	5	NULL
Goldeen	Cooltrainer♀ Irene	22	2	NULL
Seaking	Cooltrainer♀ Irene	24	2	NULL
Parasect	Cooltrainer♂ Jake	33	8	3
Golduck	Cooltrainer♂ Jake	35	2	NULL
Staryu	Cooltrainer♀ Jenn	24	2	NULL
Starmie	Cooltrainer♀ Jenn	26	2	14
Pikachu	Cooltrainer♀ Joyce	36	9	NULL
Blastoise	Cooltrainer♀ Joyce	32	2	NULL
Shellder	Cooltrainer♀ Kate	26	2	NULL
Cloyster	Cooltrainer♀ Kate	28	2	17
Marill	Cooltrainer♀ Kelly	27	2	16
Wartortle	Cooltrainer♀ Kelly	24	2	NULL
Wartortle	Cooltrainer♀ Kelly	24	2	NULL
Rhyhorn	Cooltrainer♂ Kevin	38	6	4
Charmeleon	Cooltrainer♂ Kevin	35	5	NULL
Wartortle	Cooltrainer♂ Kevin	35	2	NULL
Skiploom	Cooltrainer♀ Lois	25	3	18
Ninetales	Cooltrainer♀ Lois	25	5	NULL
Dratini	Cooltrainer♀ Lola	34	10	NULL
Dragonair	Cooltrainer♀ Lola	36	10	NULL
Bulbasaur	Cooltrainer♀ Megan	32	3	7
Ivysaur	Cooltrainer♀ Megan	32	3	7
